WELL_ID,TOWN,STREET_NUMBER,STREET_NAME,Address,LATITUDE,LONGITUDE,DATE_COMPLETE,WELL_TYPE,WORKPERFORMED,TOTAL_DEPTH,DEPTH_TO_BEDROCK,WATER_LEVEL,Numeric Water Level
548,Hawley,24,East Mawley Road,24 East Mawley Road Hawley MA,,,3/7/2001,Domestic,New Well,260,226,47,47
653,Hawley,28,East Hawley Road,28 East Hawley Road Hawley MA,,,3/9/2001,Domestic,New Well,380,214,40,40
12906,Hawley,232,West Hawley Road,232 West Hawley Road Hawley MA,,,2/19/2002,Domestic,,100,35,flowing,0
17255,Hawley,74,East Hawley Road,74 East Hawley Road Hawley MA,,,7/11/2003,Domestic,,500,89,100,100
103863,Hawley,,Hunt Road, Hunt Road Hawley MA,,,8/13/2001,Domestic,New Well,280,10,10,10
103931,Hawley,42,East Hawley Road,42 East Hawley Road Hawley MA,,,10/25/2001,Domestic,Replacement,265,24,18,18
107559,Hawley,101,Forget Road,101 Forget Road Hawley MA,,,11/9/2001,Domestic,New Well,320,10,30,30
109426,Hawley,38,Plainfield Road,38 Plainfield Road Hawley MA,,,3/28/2002,Domestic,New Well,220,88,8,8
109489,Hawley,386,Dozrah Road,386 Dozrah Road Hawley MA,,,5/24/2002,Domestic,New Well,320,137,15,15
114302,Hawley,Lot 7,E. Hawley Rd.,Lot 7 E. Hawley Rd. Hawley MA,,,9/24/2002,Domestic,New Well,260,5,24,24
118372,Hawley,81,East Hawley Rd.,81 East Hawley Rd. Hawley MA,,,10/23/2002,Domestic,New Well,360,63,10,10
122460,Hawley,17,Ashfield Road,17 Ashfield Road Hawley MA,,,7/2/2003,Domestic,New Well,265,0,45,45
124193,Hawley,396,West Hawley Road,396 West Hawley Road Hawley MA,,,10/9/2003,Domestic,New Well,300,122,18,18
127870,Hawley,12,Pudding Hollow Road,12 Pudding Hollow Road Hawley MA,,,3/8/2004,Domestic,New Well,320,54,40,40
127871,Hawley,,East Hawley Road, East Hawley Road Hawley MA,,,3/4/2004,,New Well,200,50,6,6
